,category,question_count,right_answers,right_answers_percent,right_answers_percent_(ignore_bad_format),bad_format_answers,bad_format_answers_percent
0,abstract_algebra,100,30,30.0,33.708,11,11.0
1,anatomy,135,67,49.63,57.265,18,13.333
2,astronomy,152,90,59.211,66.176,16,10.526
3,business_ethics,100,59,59.0,62.105,5,5.0
4,clinical_knowledge,265,156,58.868,66.383,30,11.321
5,college_biology,144,97,67.361,72.932,11,7.639
6,college_chemistry,100,30,30.0,38.462,22,22.0
7,college_computer_science,100,49,49.0,54.444,10,10.0
8,college_mathematics,100,29,29.0,38.158,24,24.0
9,college_medicine,173,92,53.179,58.974,17,9.827
10,college_physics,102,39,38.235,47.561,20,19.608
11,computer_security,100,63,63.0,67.742,7,7.0
12,conceptual_physics,235,123,52.34,55.909,15,6.383
13,econometrics,114,49,42.982,50.515,17,14.912
14,electrical_engineering,145,68,46.897,59.13,30,20.69
15,elementary_mathematics,378,124,32.804,37.462,47,12.434
16,formal_logic,126,50,39.683,41.667,6,4.762
17,global_facts,100,38,38.0,43.678,13,13.0
18,high_school_biology,310,207,66.774,70.169,15,4.839
19,high_school_chemistry,203,82,40.394,49.102,36,17.734
20,high_school_computer_science,100,56,56.0,60.87,8,8.0
21,high_school_european_history,165,120,72.727,76.433,8,4.848
22,high_school_geography,198,135,68.182,71.809,10,5.051
23,high_school_government_and_politics,193,158,81.865,84.043,5,2.591
24,high_school_macroeconomics,390,200,51.282,55.096,27,6.923
25,high_school_mathematics,270,62,22.963,33.155,83,30.741
26,high_school_microeconomics,238,143,60.084,62.719,10,4.202
27,high_school_physics,151,43,28.477,34.127,25,16.556
28,high_school_psychology,545,404,74.128,77.099,21,3.853
29,high_school_statistics,216,92,42.593,47.179,21,9.722
30,high_school_us_history,204,159,77.941,79.5,4,1.961
31,high_school_world_history,237,173,72.996,75.546,8,3.376
32,human_aging,223,126,56.502,61.765,19,8.52
33,human_sexuality,131,79,60.305,68.696,16,12.214
34,international_law,121,82,67.769,74.545,11,9.091
35,jurisprudence,108,76,70.37,80.0,13,12.037
36,logical_fallacies,163,101,61.963,68.243,15,9.202
37,machine_learning,112,45,40.179,45.918,14,12.5
38,management,103,63,61.165,70.787,14,13.592
39,marketing,234,188,80.342,85.455,14,5.983
40,medical_genetics,100,67,67.0,75.281,11,11.0
41,miscellaneous,783,559,71.392,82.692,107,13.665
42,moral_disputes,346,211,60.983,65.732,25,7.225
43,moral_scenarios,895,351,39.218,39.218,0,0.0
44,nutrition,306,197,64.379,69.858,24,7.843
45,philosophy,311,210,67.524,70.0,11,3.537
46,prehistory,324,206,63.58,68.212,22,6.79
47,professional_accounting,282,124,43.972,46.442,15,5.319
48,professional_law,1534,668,43.546,44.092,19,1.239
49,professional_medicine,272,163,59.926,61.509,7,2.574
50,professional_psychology,612,369,60.294,64.851,43,7.026
51,public_relations,110,67,60.909,67.677,11,10.0
52,security_studies,245,162,66.122,68.936,10,4.082
53,sociology,201,143,71.144,79.006,20,9.95
54,us_foreign_policy,100,70,70.0,77.778,10,10.0
55,virology,166,72,43.373,47.682,15,9.036
56,world_religions,171,122,71.345,78.205,15,8.772
