,category,question_count,right_answers,right_answers_percent,right_answers_percent_(ignore_bad_format),bad_format_answers,bad_format_answers_percent
0,abstract_algebra,100,28,28.0,32.184,13,13.0
1,anatomy,135,70,51.852,58.824,16,11.852
2,astronomy,152,92,60.526,68.657,18,11.842
3,business_ethics,100,62,62.0,64.583,4,4.0
4,clinical_knowledge,265,163,61.509,69.068,29,10.943
5,college_biology,144,102,70.833,75.556,9,6.25
6,college_chemistry,100,32,32.0,45.07,29,29.0
7,college_computer_science,100,53,53.0,62.353,15,15.0
8,college_mathematics,100,29,29.0,42.647,32,32.0
9,college_medicine,173,97,56.069,61.783,16,9.249
10,college_physics,102,35,34.314,42.683,20,19.608
11,computer_security,100,63,63.0,70.0,10,10.0
12,conceptual_physics,235,126,53.617,58.065,18,7.66
13,econometrics,114,39,34.211,42.391,22,19.298
14,electrical_engineering,145,76,52.414,65.517,29,20.0
15,elementary_mathematics,378,128,33.862,38.671,47,12.434
16,formal_logic,126,46,36.508,39.655,10,7.937
17,global_facts,100,44,44.0,47.826,8,8.0
18,high_school_biology,310,207,66.774,70.648,17,5.484
19,high_school_chemistry,203,87,42.857,52.727,38,18.719
20,high_school_computer_science,100,53,53.0,59.551,11,11.0
21,high_school_european_history,165,115,69.697,72.327,6,3.636
22,high_school_geography,198,139,70.202,74.332,11,5.556
23,high_school_government_and_politics,193,161,83.42,85.638,5,2.591
24,high_school_macroeconomics,390,196,50.256,53.994,27,6.923
25,high_school_mathematics,270,54,20.0,32.727,105,38.889
26,high_school_microeconomics,238,149,62.605,65.351,10,4.202
27,high_school_physics,151,52,34.437,40.945,24,15.894
28,high_school_psychology,545,406,74.495,78.077,25,4.587
29,high_school_statistics,216,96,44.444,51.337,29,13.426
30,high_school_us_history,204,158,77.451,80.203,7,3.431
31,high_school_world_history,237,173,72.996,74.892,6,2.532
32,human_aging,223,133,59.641,64.251,16,7.175
33,human_sexuality,131,82,62.595,71.304,16,12.214
34,international_law,121,80,66.116,72.727,11,9.091
35,jurisprudence,108,73,67.593,77.66,14,12.963
36,logical_fallacies,163,101,61.963,69.655,18,11.043
37,machine_learning,112,47,41.964,46.535,11,9.821
38,management,103,62,60.194,68.889,13,12.621
39,marketing,234,187,79.915,84.615,13,5.556
40,medical_genetics,100,66,66.0,75.0,12,12.0
41,miscellaneous,783,559,71.392,81.845,100,12.771
42,moral_disputes,346,224,64.74,69.136,22,6.358
43,moral_scenarios,895,341,38.101,38.101,0,0.0
44,nutrition,306,202,66.013,71.631,24,7.843
45,philosophy,311,211,67.846,69.868,9,2.894
46,prehistory,324,213,65.741,71.237,25,7.716
47,professional_accounting,282,130,46.099,49.618,20,7.092
48,professional_law,1534,668,43.546,44.268,25,1.63
49,professional_medicine,272,169,62.132,65.0,12,4.412
50,professional_psychology,612,358,58.497,63.251,46,7.516
51,public_relations,110,69,62.727,66.99,7,6.364
52,security_studies,245,157,64.082,66.525,9,3.673
53,sociology,201,144,71.642,80.0,21,10.448
54,us_foreign_policy,100,74,74.0,81.319,9,9.0
55,virology,166,70,42.169,47.297,18,10.843
56,world_religions,171,127,74.269,81.41,15,8.772
